unit_id	headword	audit_status	german_source	german_locator	english_source	english_locator	persian_source	persian_locator	correction_or_note
MEN-A1-00015	verheiraten	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/verheiraten	cambridge_de_en	https://dictionary.cambridge.org/dictionary/german-english/verheiraten	wort_ir	https://wort.app/woerterbuch/deutsch-persisch/verheiraten	Live three-layer evidence matched canonical sense.
MEN-A1-00029	versteigern	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/versteigern	cambridge_de_en	https://dictionary.cambridge.org/dictionary/german-english/versteigern	wort_ir	https://wort.app/woerterbuch/deutsch-persisch/versteigern	Live three-layer evidence matched canonical sense.
MEN-A1-00031	suchen	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/suchen	langenscheidt_de_en	https://de.langenscheidt.com/deutsch-englisch/suchen	langenscheidt_de_fa	https://de.langenscheidt.com/deutsch-persisch/suchen	Live three-layer evidence matched canonical sense.
MEN-A1-00032	besuchen	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/besuchen	langenscheidt_de_en	https://de.langenscheidt.com/deutsch-englisch/besuchen	langenscheidt_de_fa	https://de.langenscheidt.com/deutsch-persisch/besuchen	Live three-layer evidence matched canonical sense.
MEN-A1-00033	backen	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/backen	langenscheidt_de_en	https://de.langenscheidt.com/deutsch-englisch/backen	langenscheidt_de_fa	https://de.langenscheidt.com/deutsch-persisch/backen	Live three-layer evidence matched canonical sense.
MEN-A1-00034	treffen	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/treffen	langenscheidt_de_en	https://de.langenscheidt.com/deutsch-englisch/treffen	langenscheidt_de_fa	https://de.langenscheidt.com/deutsch-persisch/treffen	Live three-layer evidence matched canonical sense.
MEN-A1-00035	sich treffen	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/treffen	langenscheidt_de_en	https://de.langenscheidt.com/deutsch-englisch/treffen	langenscheidt_de_fa	https://de.langenscheidt.com/deutsch-persisch/treffen	sich treffen construction explicitly attested in Duden and bilingual entries.
MEN-A1-00036	kochen	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/kochen	langenscheidt_de_en	https://de.langenscheidt.com/deutsch-englisch/kochen	langenscheidt_de_fa	https://de.langenscheidt.com/deutsch-persisch/kochen	Live three-layer evidence matched canonical sense.
MEN-A1-00037	lieben	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/lieben	langenscheidt_de_en	https://de.langenscheidt.com/deutsch-englisch/lieben	langenscheidt_de_fa	https://de.langenscheidt.com/deutsch-persisch/lieben	Live three-layer evidence matched canonical sense.
MEN-A1-00038	malen	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/malen	langenscheidt_de_en	https://de.langenscheidt.com/deutsch-englisch/malen	langenscheidt_de_fa	https://de.langenscheidt.com/deutsch-persisch/malen	Live three-layer evidence matched canonical sense.
MEN-A1-00039	Rad fahren	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/fahren	langenscheidt_de_en	https://de.langenscheidt.com/deutsch-englisch/fahren	wort_ir	https://wort.app/woerterbuch/deutsch-persisch/fahren	Live three-layer evidence matched canonical sense.
MEN-A1-00040	schwimmen	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/schwimmen	langenscheidt_de_en	https://de.langenscheidt.com/deutsch-englisch/schwimmen	langenscheidt_de_fa	https://de.langenscheidt.com/deutsch-persisch/schwimmen	Live three-layer evidence matched canonical sense.
MEN-A1-00041	singen	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/singen	langenscheidt_de_en	https://de.langenscheidt.com/deutsch-englisch/singen	langenscheidt_de_fa	https://de.langenscheidt.com/deutsch-persisch/singen	Live three-layer evidence matched canonical sense.
MEN-A1-00042	spazieren gehen	VERIFIED	duden_online	https://www.duden.de/rechtschreibung/spazieren	langenscheidt_de_en	https://de.langenscheidt.com/deutsch-englisch/spazieren	langenscheidt_de_fa	https://de.langenscheidt.com/deutsch-persisch/spazieren	spazieren gehen / go for a walk sense checked.
